Framework,Workload,NThread,Iteration,ExecutionTime(s)
DAGRS,Compress Iso File,1,9,105.444045
DAGRS,Compress Iso File,5,0,27.182109
DAGRS,Compress Iso File,5,1,24.344092
DAGRS,Compress Iso File,5,2,23.217781
DAGRS,Compress Iso File,5,3,23.394140
DAGRS,Compress Iso File,5,4,23.317655
DAGRS,Compress Iso File,5,5,24.465636
DAGRS,Compress Iso File,5,6,24.294924
DAGRS,Compress Iso File,5,7,23.168633
DAGRS,Compress Iso File,5,8,23.889640
DAGRS,Compress Iso File,5,9,23.337713
DAGRS,Compress Iso File,10,0,14.124331
DAGRS,Compress Iso File,10,1,19.850397
DAGRS,Compress Iso File,10,2,18.535593
DAGRS,Compress Iso File,10,3,15.140636
DAGRS,Compress Iso File,10,4,24.616200
DAGRS,Compress Iso File,10,5,17.654431
DAGRS,Compress Iso File,10,6,16.861859
DAGRS,Compress Iso File,10,7,13.298543
DAGRS,Compress Iso File,10,8,13.076446
DAGRS,Compress Iso File,10,9,13.115585
DAGRS,Compress Iso File,15,0,17.173089
DAGRS,Compress Iso File,15,1,18.800945
DAGRS,Compress Iso File,15,2,17.850572
DAGRS,Compress Iso File,15,3,15.358280
DAGRS,Compress Iso File,15,4,20.147827
DAGRS,Compress Iso File,15,5,15.905405
DAGRS,Compress Iso File,15,6,17.794653
DAGRS,Compress Iso File,15,7,14.908842
DAGRS,Compress Iso File,15,8,16.560052
DAGRS,Compress Iso File,15,9,16.698972
DAGRS,Compress Iso File,25,0,7.533486
DAGRS,Compress Iso File,25,1,9.099385
DAGRS,Compress Iso File,25,2,10.953403
DAGRS,Compress Iso File,25,3,13.033568
DAGRS,Compress Iso File,25,4,11.176861
DAGRS,Compress Iso File,25,5,9.426615
DAGRS,Compress Iso File,25,6,8.965338
DAGRS,Compress Iso File,25,7,9.551738
DAGRS,Compress Iso File,25,8,10.780349
DAGRS,Compress Iso File,25,9,11.445386
DAGRS,Compress Iso File,30,0,6.215592
DAGRS,Compress Iso File,30,1,6.014010
DAGRS,Compress Iso File,30,2,6.676433
DAGRS,Compress Iso File,30,3,6.189176
DAGRS,Compress Iso File,30,4,6.580702
DAGRS,Compress Iso File,30,5,6.779201
DAGRS,Compress Iso File,30,6,6.044372
DAGRS,Compress Iso File,30,7,6.785690
DAGRS,Compress Iso File,30,8,5.921205
DAGRS,Compress Iso File,30,9,7.216349
DAGRS,Compress Jdk,1,0,24.021514
DAGRS,Compress Jdk,1,1,23.782133
DAGRS,Compress Jdk,1,2,23.491611
DAGRS,Compress Jdk,1,3,23.453935
DAGRS,Compress Jdk,1,4,23.782879
DAGRS,Compress Jdk,1,5,23.878953
DAGRS,Compress Jdk,1,6,23.357682
DAGRS,Compress Jdk,1,7,23.369360
DAGRS,Compress Jdk,1,8,23.789619
DAGRS,Compress Jdk,1,9,23.305301
DAGRS,Compress Jdk,5,0,5.318781
DAGRS,Compress Jdk,5,1,5.506678
DAGRS,Compress Jdk,5,2,5.630450
DAGRS,Compress Jdk,5,3,5.333481
DAGRS,Compress Jdk,5,4,5.464893
DAGRS,Compress Jdk,5,5,5.309481
DAGRS,Compress Jdk,5,6,5.346643
DAGRS,Compress Jdk,5,7,5.365567
DAGRS,Compress Jdk,5,8,5.405345
DAGRS,Compress Jdk,5,9,5.237533
DAGRS,Compress Jdk,10,0,4.532175
DAGRS,Compress Jdk,10,1,4.909867
DAGRS,Compress Jdk,10,2,3.742033
DAGRS,Compress Jdk,10,3,3.745401
DAGRS,Compress Jdk,10,4,8.724004
DAGRS,Compress Jdk,10,5,4.772602
DAGRS,Compress Jdk,10,6,5.127751
DAGRS,Compress Jdk,10,7,3.855226
DAGRS,Compress Jdk,10,8,3.389276
DAGRS,Compress Jdk,10,9,4.358468
DAGRS,Compress Jdk,15,0,3.451820
DAGRS,Compress Jdk,15,1,8.008427
DAGRS,Compress Jdk,15,2,4.863611
DAGRS,Compress Jdk,15,3,5.264943
DAGRS,Compress Jdk,15,4,6.279962
DAGRS,Compress Jdk,15,5,3.185279
DAGRS,Compress Jdk,15,6,4.062798
DAGRS,Compress Jdk,15,7,3.981541
DAGRS,Compress Jdk,15,8,4.148202
DAGRS,Compress Jdk,15,9,4.004657
DAGRS,Compress Jdk,25,0,2.220220
DAGRS,Compress Jdk,25,1,2.010392
DAGRS,Compress Jdk,25,2,2.228697
DAGRS,Compress Jdk,25,3,3.052510
DAGRS,Compress Jdk,25,4,3.011984
DAGRS,Compress Jdk,25,5,2.120437
DAGRS,Compress Jdk,25,6,1.750107
DAGRS,Compress Jdk,25,7,3.701930
DAGRS,Compress Jdk,25,8,2.395766
DAGRS,Compress Jdk,25,9,2.274313
DAGRS,Compress Jdk,30,0,1.532732
DAGRS,Compress Jdk,30,1,1.516375
DAGRS,Compress Jdk,30,2,1.656372
DAGRS,Compress Jdk,30,3,1.684478
DAGRS,Compress Jdk,30,4,1.332384
DAGRS,Compress Jdk,30,5,1.639437
DAGRS,Compress Jdk,30,6,1.723362
DAGRS,Compress Jdk,30,7,1.408974
DAGRS,Compress Jdk,30,8,1.475659
DAGRS,Compress Jdk,30,9,1.434581
DAGRS,Decompress Avi Video,1,0,50.717114
DAGRS,Decompress Avi Video,1,1,53.389163
DAGRS,Decompress Avi Video,1,2,50.737012
DAGRS,Decompress Avi Video,1,3,50.336658
DAGRS,Decompress Avi Video,1,4,50.262298
DAGRS,Decompress Avi Video,1,5,50.012259
DAGRS,Decompress Avi Video,1,6,50.965249
DAGRS,Decompress Avi Video,1,7,49.814416
DAGRS,Decompress Avi Video,1,8,51.787455
DAGRS,Decompress Avi Video,1,9,51.114154
DAGRS,Decompress Avi Video,5,0,12.198670
DAGRS,Decompress Avi Video,5,1,14.295749
DAGRS,Decompress Avi Video,5,2,16.346655
DAGRS,Decompress Avi Video,5,3,13.236081
DAGRS,Decompress Avi Video,5,4,12.432894
DAGRS,Decompress Avi Video,5,5,12.257757
DAGRS,Decompress Avi Video,5,6,12.395365
DAGRS,Decompress Avi Video,5,7,12.323761
DAGRS,Decompress Avi Video,5,8,11.965033
DAGRS,Decompress Avi Video,5,9,14.900023
DAGRS,Decompress Avi Video,10,0,10.249480
DAGRS,Decompress Avi Video,10,1,12.025111
DAGRS,Decompress Avi Video,10,2,10.924541
DAGRS,Decompress Avi Video,10,3,7.716351
DAGRS,Decompress Avi Video,10,4,25.459770
DAGRS,Decompress Avi Video,10,5,11.072019
DAGRS,Decompress Avi Video,10,6,10.730067
DAGRS,Decompress Avi Video,10,7,9.600094
DAGRS,Decompress Avi Video,10,8,8.063415
DAGRS,Decompress Avi Video,10,9,8.599798
DAGRS,Decompress Avi Video,15,0,11.374772
DAGRS,Decompress Avi Video,15,1,13.282372
DAGRS,Decompress Avi Video,15,2,14.153557
DAGRS,Decompress Avi Video,15,3,11.036666
DAGRS,Decompress Avi Video,15,4,14.059393
DAGRS,Decompress Avi Video,15,5,9.334054
DAGRS,Decompress Avi Video,15,6,15.118850
DAGRS,Decompress Avi Video,15,7,9.656246
DAGRS,Decompress Avi Video,15,8,10.461202
DAGRS,Decompress Avi Video,15,9,9.643924
DAGRS,Decompress Avi Video,25,0,6.270734
DAGRS,Decompress Avi Video,25,1,4.302182
DAGRS,Decompress Avi Video,25,2,4.934109
DAGRS,Decompress Avi Video,25,3,7.466922
DAGRS,Decompress Avi Video,25,4,6.378366
DAGRS,Decompress Avi Video,25,5,5.111996
DAGRS,Decompress Avi Video,25,6,4.833518
DAGRS,Decompress Avi Video,25,7,8.296626
DAGRS,Decompress Avi Video,25,8,6.552259
DAGRS,Decompress Avi Video,25,9,7.552403
DAGRS,Decompress Avi Video,30,0,4.136005
DAGRS,Decompress Avi Video,30,1,4.637065
DAGRS,Decompress Avi Video,30,2,4.223258
DAGRS,Decompress Avi Video,30,3,4.818984
DAGRS,Decompress Avi Video,30,4,4.146416
DAGRS,Decompress Avi Video,30,5,4.434204
DAGRS,Decompress Avi Video,30,6,3.882170
DAGRS,Decompress Avi Video,30,7,3.907488
DAGRS,Decompress Avi Video,30,8,4.579447
DAGRS,Decompress Avi Video,30,9,5.515831
DAGRS,Decompress Iso File,1,0,49.997144
DAGRS,Decompress Iso File,1,1,54.604740
DAGRS,Decompress Iso File,1,2,50.789105
DAGRS,Decompress Iso File,1,3,50.115227
DAGRS,Decompress Iso File,1,4,49.926370
DAGRS,Decompress Iso File,1,5,50.367733
DAGRS,Decompress Iso File,1,6,51.834595
DAGRS,Decompress Iso File,1,7,52.196516
DAGRS,Decompress Iso File,1,8,49.722915
DAGRS,Decompress Iso File,1,9,51.432400
DAGRS,Decompress Iso File,5,0,13.791593
DAGRS,Decompress Iso File,5,1,17.379290
DAGRS,Decompress Iso File,5,2,16.937803
DAGRS,Decompress Iso File,5,3,12.025199
DAGRS,Decompress Iso File,5,4,13.570024
DAGRS,Decompress Iso File,5,5,15.691028
DAGRS,Decompress Iso File,5,6,13.222555
DAGRS,Decompress Iso File,5,7,12.136550
DAGRS,Decompress Iso File,5,8,12.011398
DAGRS,Decompress Iso File,5,9,14.712020
DAGRS,Decompress Iso File,10,0,13.333122
DAGRS,Decompress Iso File,10,1,11.232122
DAGRS,Decompress Iso File,10,2,8.852526
DAGRS,Decompress Iso File,10,3,9.893084
DAGRS,Decompress Iso File,10,4,19.936532
DAGRS,Decompress Iso File,10,5,13.515662
DAGRS,Decompress Iso File,10,6,9.253215
DAGRS,Decompress Iso File,10,7,12.292106
DAGRS,Decompress Iso File,10,8,12.138231
DAGRS,Decompress Iso File,10,9,9.173244
DAGRS,Decompress Iso File,15,0,8.527822
DAGRS,Decompress Iso File,15,1,12.251465
DAGRS,Decompress Iso File,15,2,13.721608
DAGRS,Decompress Iso File,15,3,13.592141
DAGRS,Decompress Iso File,15,4,10.188856
DAGRS,Decompress Iso File,15,5,9.335194
DAGRS,Decompress Iso File,15,6,10.039909
DAGRS,Decompress Iso File,15,7,11.352601
DAGRS,Decompress Iso File,15,8,11.124321
DAGRS,Decompress Iso File,15,9,12.714554
DAGRS,Decompress Iso File,25,0,6.086224
DAGRS,Decompress Iso File,25,1,4.359777
DAGRS,Decompress Iso File,25,2,4.379441
DAGRS,Decompress Iso File,25,3,7.043641
DAGRS,Decompress Iso File,25,4,4.489306
DAGRS,Decompress Iso File,25,5,5.136541
DAGRS,Decompress Iso File,25,6,4.377118
DAGRS,Decompress Iso File,25,7,7.193103
DAGRS,Decompress Iso File,25,8,6.958134
DAGRS,Decompress Iso File,25,9,4.612666
DAGRS,Decompress Iso File,30,0,4.151335
DAGRS,Decompress Iso File,30,1,4.453713
DAGRS,Decompress Iso File,30,2,4.343219
DAGRS,Decompress Iso File,30,3,4.246599
DAGRS,Decompress Iso File,30,4,3.975932
DAGRS,Decompress Iso File,30,5,4.319621
DAGRS,Decompress Iso File,30,6,4.045639
DAGRS,Decompress Iso File,30,7,3.997733
DAGRS,Decompress Iso File,30,8,4.108468
DAGRS,Decompress Iso File,30,9,4.025547
DAGRS,Decompress Jdk,1,0,13.999302
DAGRS,Decompress Jdk,1,1,14.730436
DAGRS,Decompress Jdk,1,2,13.870478
DAGRS,Decompress Jdk,1,3,13.821326
DAGRS,Decompress Jdk,1,4,14.272134
DAGRS,Decompress Jdk,1,5,14.596177
DAGRS,Decompress Jdk,1,6,14.362588
DAGRS,Decompress Jdk,1,7,14.339448
DAGRS,Decompress Jdk,1,8,14.024102
DAGRS,Decompress Jdk,1,9,14.321735
DAGRS,Decompress Jdk,5,0,3.850411
DAGRS,Decompress Jdk,5,1,4.979723
DAGRS,Decompress Jdk,5,2,4.746694
DAGRS,Decompress Jdk,5,3,3.675957
DAGRS,Decompress Jdk,5,4,3.560592
DAGRS,Decompress Jdk,5,5,5.209397
DAGRS,Decompress Jdk,5,6,3.450626
DAGRS,Decompress Jdk,5,7,3.438025
DAGRS,Decompress Jdk,5,8,3.374751
DAGRS,Decompress Jdk,5,9,3.595166
DAGRS,Decompress Jdk,10,0,4.274730
DAGRS,Decompress Jdk,10,1,2.772658
DAGRS,Decompress Jdk,10,2,2.430585
DAGRS,Decompress Jdk,10,3,2.644766
DAGRS,Decompress Jdk,10,4,7.509111
DAGRS,Decompress Jdk,10,5,3.587248
DAGRS,Decompress Jdk,10,6,4.155690
DAGRS,Decompress Jdk,10,7,2.861282
DAGRS,Decompress Jdk,10,8,4.178033
DAGRS,Decompress Jdk,10,9,2.045674
DAGRS,Decompress Jdk,15,0,2.065572
DAGRS,Decompress Jdk,15,1,3.026473
DAGRS,Decompress Jdk,15,2,3.251417
DAGRS,Decompress Jdk,15,3,4.191262
DAGRS,Decompress Jdk,15,4,2.973473
DAGRS,Decompress Jdk,15,5,3.169258
DAGRS,Decompress Jdk,15,6,2.431850
DAGRS,Decompress Jdk,15,7,3.634325
DAGRS,Decompress Jdk,15,8,3.692864
DAGRS,Decompress Jdk,15,9,2.439656
DAGRS,Decompress Jdk,25,0,1.225213
DAGRS,Decompress Jdk,25,1,1.234628
DAGRS,Decompress Jdk,25,2,1.278286
DAGRS,Decompress Jdk,25,3,1.235383
DAGRS,Decompress Jdk,25,4,1.244537
DAGRS,Decompress Jdk,25,5,1.264228
DAGRS,Decompress Jdk,25,6,1.237581
DAGRS,Decompress Jdk,25,7,1.376564
DAGRS,Decompress Jdk,25,8,1.271543
DAGRS,Decompress Jdk,25,9,1.228864
DAGRS,Decompress Jdk,30,0,1.144160
DAGRS,Decompress Jdk,30,1,1.221555
DAGRS,Decompress Jdk,30,2,1.184204
DAGRS,Decompress Jdk,30,3,1.137815
DAGRS,Decompress Jdk,30,4,1.183488
DAGRS,Decompress Jdk,30,5,1.266824
DAGRS,Decompress Jdk,30,6,1.168648
DAGRS,Decompress Jdk,30,7,1.117299
DAGRS,Decompress Jdk,30,8,1.142983
DAGRS,Decompress Jdk,30,9,1.153469
PIPELINER,Decompress Avi Video,1,0,50.474909
PIPELINER,Decompress Avi Video,1,1,52.463150
PIPELINER,Decompress Avi Video,1,2,51.022070
PIPELINER,Decompress Avi Video,1,3,51.133118
PIPELINER,Decompress Avi Video,1,4,50.762767
PIPELINER,Decompress Avi Video,1,5,51.532246
PIPELINER,Decompress Avi Video,1,6,49.747811
PIPELINER,Decompress Avi Video,1,7,50.527643
PIPELINER,Decompress Avi Video,1,8,50.745516
PIPELINER,Decompress Avi Video,1,9,50.037912
PIPELINER,Decompress Avi Video,5,0,11.756061
PIPELINER,Decompress Avi Video,5,1,11.884246
PIPELINER,Decompress Avi Video,5,2,11.967458
PIPELINER,Decompress Avi Video,5,3,11.810462
PIPELINER,Decompress Avi Video,5,4,12.040523
PIPELINER,Decompress Avi Video,5,5,11.910088
PIPELINER,Decompress Avi Video,5,6,11.827097
PIPELINER,Decompress Avi Video,5,7,11.862101
PIPELINER,Decompress Avi Video,5,8,11.752321
PIPELINER,Decompress Avi Video,5,9,11.813637
PIPELINER,Decompress Avi Video,10,0,7.185271
PIPELINER,Decompress Avi Video,10,1,7.264092
PIPELINER,Decompress Avi Video,10,2,7.227464
PIPELINER,Decompress Avi Video,10,3,7.327039
PIPELINER,Decompress Avi Video,10,4,13.407370
PIPELINER,Decompress Avi Video,10,5,7.264319
PIPELINER,Decompress Avi Video,10,6,6.998989
PIPELINER,Decompress Avi Video,10,7,6.971861
PIPELINER,Decompress Avi Video,10,8,7.247217
PIPELINER,Decompress Avi Video,10,9,6.970619
PIPELINER,Decompress Avi Video,15,0,5.945926
PIPELINER,Decompress Avi Video,15,1,6.006475
PIPELINER,Decompress Avi Video,15,2,6.621848
PIPELINER,Decompress Avi Video,15,3,5.844559
PIPELINER,Decompress Avi Video,15,4,10.863392
PIPELINER,Decompress Avi Video,15,5,5.819847
PIPELINER,Decompress Avi Video,15,6,5.641713
PIPELINER,Decompress Avi Video,15,7,5.825798
PIPELINER,Decompress Avi Video,15,8,5.735148
PIPELINER,Decompress Avi Video,15,9,5.534660
PIPELINER,Decompress Avi Video,25,0,5.118070
PIPELINER,Decompress Avi Video,25,1,5.731464
PIPELINER,Decompress Avi Video,25,2,5.186732
PIPELINER,Decompress Avi Video,25,3,4.845289
PIPELINER,Decompress Avi Video,25,4,7.428631
PIPELINER,Decompress Avi Video,25,5,5.460774
PIPELINER,Decompress Avi Video,25,6,5.812847
PIPELINER,Decompress Avi Video,25,7,4.902873
PIPELINER,Decompress Avi Video,25,8,4.643761
PIPELINER,Decompress Avi Video,25,9,4.345576
PIPELINER,Decompress Avi Video,30,0,4.582563
PIPELINER,Decompress Avi Video,30,1,6.157218
PIPELINER,Decompress Avi Video,30,2,4.224371
PIPELINER,Decompress Avi Video,30,3,3.954778
PIPELINER,Decompress Avi Video,30,4,4.088599
PIPELINER,Decompress Avi Video,30,5,4.242456
PIPELINER,Decompress Avi Video,30,6,3.972934
PIPELINER,Decompress Avi Video,30,7,5.007256
PIPELINER,Decompress Avi Video,30,8,3.868664
PIPELINER,Decompress Avi Video,30,9,4.163758
PIPELINER,Decompress Iso File,1,0,49.532545
PIPELINER,Decompress Iso File,1,1,51.946187
PIPELINER,Decompress Iso File,1,2,49.814594
PIPELINER,Decompress Iso File,1,3,50.449930
PIPELINER,Decompress Iso File,1,4,50.492916
PIPELINER,Decompress Iso File,1,5,50.804519
PIPELINER,Decompress Iso File,1,6,49.208393
PIPELINER,Decompress Iso File,1,7,50.476347
PIPELINER,Decompress Iso File,1,8,49.583087
PIPELINER,Decompress Iso File,1,9,49.549188
PIPELINER,Decompress Iso File,5,0,11.711063
PIPELINER,Decompress Iso File,5,1,12.041546
PIPELINER,Decompress Iso File,5,2,11.855207
PIPELINER,Decompress Iso File,5,3,11.673402
PIPELINER,Decompress Iso File,5,4,11.721728
PIPELINER,Decompress Iso File,5,5,11.897366
PIPELINER,Decompress Iso File,5,6,11.942010
PIPELINER,Decompress Iso File,5,7,11.624417
PIPELINER,Decompress Iso File,5,8,11.827954
PIPELINER,Decompress Iso File,5,9,11.788851
PIPELINER,Decompress Iso File,10,0,7.180709
PIPELINER,Decompress Iso File,10,1,7.469440
PIPELINER,Decompress Iso File,10,2,7.715926
PIPELINER,Decompress Iso File,10,3,7.231570
PIPELINER,Decompress Iso File,10,4,11.103633
PIPELINER,Decompress Iso File,10,5,7.440878
PIPELINER,Decompress Iso File,10,6,7.144063
PIPELINER,Decompress Iso File,10,7,7.153948
PIPELINER,Decompress Iso File,10,8,6.961778
PIPELINER,Decompress Iso File,10,9,7.339685
PIPELINER,Decompress Iso File,15,0,6.241479
PIPELINER,Decompress Iso File,15,1,7.259878
PIPELINER,Decompress Iso File,15,2,5.759449
PIPELINER,Decompress Iso File,15,3,5.783638
PIPELINER,Decompress Iso File,15,4,10.931508
PIPELINER,Decompress Iso File,15,5,6.014699
PIPELINER,Decompress Iso File,15,6,5.746417
PIPELINER,Decompress Iso File,15,7,5.922805
PIPELINER,Decompress Iso File,15,8,5.540373
PIPELINER,Decompress Iso File,15,9,5.787816
PIPELINER,Decompress Iso File,25,0,5.409693
PIPELINER,Decompress Iso File,25,1,5.405357
PIPELINER,Decompress Iso File,25,2,4.694682
PIPELINER,Decompress Iso File,25,3,5.100750
PIPELINER,Decompress Iso File,25,4,7.277536
PIPELINER,Decompress Iso File,25,5,6.800582
PIPELINER,Decompress Iso File,25,6,4.717757
PIPELINER,Decompress Iso File,25,7,4.184511
PIPELINER,Decompress Iso File,25,8,4.678352
PIPELINER,Decompress Iso File,25,9,4.195182
PIPELINER,Decompress Iso File,30,0,4.969337
PIPELINER,Decompress Iso File,30,1,5.896107
PIPELINER,Decompress Iso File,30,2,5.604378
PIPELINER,Decompress Iso File,30,3,4.463024
PIPELINER,Decompress Iso File,30,4,4.100094
PIPELINER,Decompress Iso File,30,5,4.340953
PIPELINER,Decompress Iso File,30,6,5.062270
PIPELINER,Decompress Iso File,30,7,4.374730
PIPELINER,Decompress Iso File,30,8,4.274024
PIPELINER,Decompress Iso File,30,9,4.009074
PIPELINER,Decompress Jdk,1,0,13.788100
PIPELINER,Decompress Jdk,1,1,14.001587
PIPELINER,Decompress Jdk,1,2,13.765416
PIPELINER,Decompress Jdk,1,3,13.793183
PIPELINER,Decompress Jdk,1,4,13.754431
PIPELINER,Decompress Jdk,1,5,14.937116
PIPELINER,Decompress Jdk,1,6,13.627918
PIPELINER,Decompress Jdk,1,7,13.569263
PIPELINER,Decompress Jdk,1,8,13.756386
PIPELINER,Decompress Jdk,1,9,13.721012
PIPELINER,Decompress Jdk,5,0,3.276908
PIPELINER,Decompress Jdk,5,1,3.308347
PIPELINER,Decompress Jdk,5,2,3.311292
PIPELINER,Decompress Jdk,5,3,3.310560
PIPELINER,Decompress Jdk,5,4,3.241558
PIPELINER,Decompress Jdk,5,5,3.339158
PIPELINER,Decompress Jdk,5,6,3.797218
PIPELINER,Decompress Jdk,5,7,3.255204
PIPELINER,Decompress Jdk,5,8,3.249829
PIPELINER,Decompress Jdk,5,9,3.275806
PIPELINER,Decompress Jdk,10,0,2.057932
PIPELINER,Decompress Jdk,10,1,2.284513
PIPELINER,Decompress Jdk,10,2,1.956574
PIPELINER,Decompress Jdk,10,3,2.317794
PIPELINER,Decompress Jdk,10,4,3.273829
PIPELINER,Decompress Jdk,10,5,2.187830
PIPELINER,Decompress Jdk,10,6,1.947204
PIPELINER,Decompress Jdk,10,7,1.949322
PIPELINER,Decompress Jdk,10,8,2.102237
PIPELINER,Decompress Jdk,10,9,2.181708
PIPELINER,Decompress Jdk,15,0,1.786632
PIPELINER,Decompress Jdk,15,1,2.158917
PIPELINER,Decompress Jdk,15,2,1.792393
PIPELINER,Decompress Jdk,15,3,2.337167
PIPELINER,Decompress Jdk,15,4,2.977330
PIPELINER,Decompress Jdk,15,5,2.212875
PIPELINER,Decompress Jdk,15,6,1.602971
PIPELINER,Decompress Jdk,15,7,1.824658
PIPELINER,Decompress Jdk,15,8,2.421570
PIPELINER,Decompress Jdk,15,9,1.488341
PIPELINER,Decompress Jdk,25,0,1.558600
PIPELINER,Decompress Jdk,25,1,1.414676
PIPELINER,Decompress Jdk,25,2,1.440498
PIPELINER,Decompress Jdk,25,3,1.901127
PIPELINER,Decompress Jdk,25,4,2.532263
PIPELINER,Decompress Jdk,25,5,1.688587
PIPELINER,Decompress Jdk,25,6,1.449080
PIPELINER,Decompress Jdk,25,7,1.239073
PIPELINER,Decompress Jdk,25,8,1.709271
PIPELINER,Decompress Jdk,25,9,1.493175
PIPELINER,Decompress Jdk,30,0,1.215616
PIPELINER,Decompress Jdk,30,1,1.534531
PIPELINER,Decompress Jdk,30,2,1.317443
PIPELINER,Decompress Jdk,30,3,1.009324
PIPELINER,Decompress Jdk,30,4,1.148264
PIPELINER,Decompress Jdk,30,5,1.117835
PIPELINER,Decompress Jdk,30,6,1.183466
PIPELINER,Decompress Jdk,30,7,1.551592
PIPELINER,Decompress Jdk,30,8,1.113302
PIPELINER,Decompress Jdk,30,9,1.068638
RAYON,Compress Avi Video,1,0,83.575158
RAYON,Compress Avi Video,1,1,102.014844
RAYON,Compress Avi Video,1,2,81.051512
RAYON,Compress Avi Video,1,3,83.180520
RAYON,Compress Avi Video,1,4,81.182604
RAYON,Compress Avi Video,1,5,80.849771
RAYON,Compress Avi Video,1,6,85.510840
RAYON,Compress Avi Video,1,7,85.707443
RAYON,Compress Avi Video,1,8,84.102862
RAYON,Compress Avi Video,1,9,86.524469
RAYON,Compress Avi Video,5,0,17.467218
RAYON,Compress Avi Video,5,1,17.775843
RAYON,Compress Avi Video,5,2,17.697156
RAYON,Compress Avi Video,5,3,17.650133
RAYON,Compress Avi Video,5,4,17.634534
RAYON,Compress Avi Video,5,5,17.662719
RAYON,Compress Avi Video,5,6,17.549648
RAYON,Compress Avi Video,5,7,17.863621
RAYON,Compress Avi Video,5,8,17.306495
RAYON,Compress Avi Video,5,9,17.475578
RAYON,Compress Avi Video,10,0,10.331303
RAYON,Compress Avi Video,10,1,9.743545
RAYON,Compress Avi Video,10,2,9.543445
RAYON,Compress Avi Video,10,3,10.391139
RAYON,Compress Avi Video,10,4,10.560952
RAYON,Compress Avi Video,10,5,9.798858
RAYON,Compress Avi Video,10,6,9.680152
RAYON,Compress Avi Video,10,7,9.688902
RAYON,Compress Avi Video,10,8,9.743301
RAYON,Compress Avi Video,10,9,9.717599
RAYON,Compress Avi Video,15,0,8.238448
RAYON,Compress Avi Video,15,1,7.680640
RAYON,Compress Avi Video,15,2,7.637489
RAYON,Compress Avi Video,15,3,8.436592
