CMDLINE python sklearn.py
MEM 5976.304688 1742195043.2894
MEM 5584.609375 1742195043.5271
MEM 6313.710938 1742195043.7429
MEM 6138.453125 1742195044.0303
MEM 6783.453125 1742195044.2872
MEM 5600.636719 1742195044.6323
MEM 6373.371094 1742195044.9135
MEM 6225.066406 1742195045.1926
MEM 6008.414062 1742195045.3862
MEM 6239.066406 1742195045.5841
MEM 5534.414062 1742195045.7577
MEM 6308.093750 1742195046.0215
MEM 6316.464844 1742195046.2733
MEM 5451.464844 1742195046.5515
MEM 6586.464844 1742195046.8717
MEM 6709.125000 1742195047.1161
MEM 5475.777344 1742195047.3736
MEM 6514.257812 1742195047.7317
MEM 5849.457031 1742195048.0955
MEM 6006.835938 1742195048.4250
MEM 6256.703125 1742195048.6740
MEM 5954.078125 1742195048.9645
MEM 5966.101562 1742195049.2359
MEM 5878.753906 1742195049.5451
MEM 6456.597656 1742195049.7596
MEM 6385.773438 1742195050.0157
MEM 6267.660156 1742195050.4165
MEM 5750.617188 1742195050.7881
MEM 6173.269531 1742195050.9620
MEM 6148.964844 1742195051.1675
MEM 6236.214844 1742195051.4107
MEM 5788.058594 1742195051.7499
MEM 5997.519531 1742195052.1182
MEM 5216.636719 1742195052.5090
MEM 5080.066406 1742195052.9199
MEM 5953.488281 1742195053.1853
MEM 5830.835938 1742195053.4961
MEM 5548.582031 1742195053.8870
MEM 5428.667969 1742195054.2560
MEM 4833.320312 1742195054.6703
MEM 5864.988281 1742195055.0533
MEM 5109.968750 1742195055.4630
MEM 5794.316406 1742195055.8516
MEM 5372.039062 1742195056.2319
MEM 5258.039062 1742195056.5286
MEM 5620.578125 1742195056.8411
MEM 5020.324219 1742195057.1657
MEM 5116.878906 1742195057.5002
MEM 5170.226562 1742195057.8454
MEM 5242.226562 1742195058.1559
MEM 5677.062500 1742195058.4692
MEM 5258.613281 1742195058.8402
MEM 5555.332031 1742195059.2535
MEM 4994.445312 1742195059.4963
MEM 5246.542969 1742195059.6868
MEM 5539.542969 1742195059.9407
MEM 5704.542969 1742195060.1155
MEM 5672.195312 1742195060.3007
MEM 4413.195312 1742195060.5042
MEM 5512.867188 1742195060.7203
MEM 5513.519531 1742195060.9851
MEM 4896.476562 1742195061.1800
MEM 4828.390625 1742195061.5944
MEM 4928.414062 1742195061.7690
MEM 5384.984375 1742195062.1030
MEM 5381.320312 1742195062.5113
MEM 6065.425781 1742195062.8596
MEM 5714.781250 1742195063.2151
MEM 5762.722656 1742195063.7491
MEM 5788.722656 1742195064.0060
MEM 5428.179688 1742195064.1987
MEM 5482.238281 1742195064.4991
MEM 4929.582031 1742195064.7462
MEM 5522.277344 1742195064.9901
MEM 5210.277344 1742195065.1570
MEM 5384.277344 1742195065.3234
MEM 5413.582031 1742195065.5443
MEM 5542.582031 1742195065.8949
MEM 5293.582031 1742195066.0973
MEM 5773.582031 1742195066.3332
MEM 4902.929688 1742195066.6386
MEM 6235.062500 1742195066.9674
MEM 5563.664062 1742195067.2064
MEM 5022.316406 1742195067.5872
MEM 4821.011719 1742195067.7545
MEM 5653.664062 1742195067.9747
MEM 5533.664062 1742195068.2282
MEM 5388.089844 1742195068.4351
MEM 5144.664062 1742195068.6915
MEM 6070.902344 1742195068.8682
MEM 5299.207031 1742195069.0488
MEM 5312.207031 1742195069.2867
MEM 5176.554688 1742195069.5907
MEM 5434.859375 1742195069.9128
MEM 5812.207031 1742195070.1692
MEM 5448.164062 1742195070.3942
MEM 5512.707031 1742195070.7565
MEM 5596.703125 1742195071.0648
MEM 5522.359375 1742195071.4044
MEM 4977.414062 1742195071.8047
MEM 5255.718750 1742195072.1925
MEM 5567.093750 1742195072.5488
MEM 5022.277344 1742195072.8671
MEM 5537.984375 1742195073.1904
MEM 4873.707031 1742195073.5302
MEM 5648.175781 1742195073.8085
MEM 5692.851562 1742195074.1726
MEM 5698.652344 1742195074.4887
MEM 5657.652344 1742195074.8338
MEM 4798.652344 1742195075.0871
MEM 5494.304688 1742195075.4190
MEM 5689.003906 1742195075.7100
MEM 5746.656250 1742195075.9711
MEM 5403.308594 1742195076.2446
MEM 5143.535156 1742195076.4947
MEM 5952.273438 1742195076.8598
MEM 5693.933594 1742195077.1485
MEM 4931.613281 1742195077.3370
MEM 5845.265625 1742195077.6013
MEM 5044.570312 1742195077.8656
MEM 5619.222656 1742195078.0981
MEM 4885.265625 1742195078.4074
MEM 5351.265625 1742195078.6968
MEM 5183.570312 1742195078.9067
MEM 4820.570312 1742195079.3506
MEM 5058.613281 1742195079.6892
MEM 5476.640625 1742195079.9841
MEM 5503.980469 1742195080.3054
MEM 5528.328125 1742195080.6282
MEM 5818.328125 1742195080.8944
MEM 5246.148438 1742195081.1781
MEM 5460.222656 1742195081.5441
MEM 5340.222656 1742195081.8717
MEM 5710.484375 1742195082.2600
MEM 5338.968750 1742195082.5356
MEM 4305.664062 1742195082.8680
MEM 5275.511719 1742195083.2598
MEM 4887.816406 1742195083.6563
MEM 5330.816406 1742195083.9468
MEM 5564.859375 1742195084.2599
MEM 4647.164062 1742195084.6339
MEM 5552.917969 1742195084.9906
MEM 5725.792969 1742195085.2824
MEM 5508.792969 1742195085.5478
MEM 5159.218750 1742195085.8906
MEM 5451.218750 1742195086.2209
MEM 5714.324219 1742195086.5579
MEM 5234.140625 1742195086.9450
MEM 4981.777344 1742195087.3347
MEM 5367.433594 1742195087.7301
MEM 5462.894531 1742195088.1708
MEM 4796.199219 1742195088.5767
MEM 4916.199219 1742195089.0369
MEM 5823.199219 1742195089.3605
MEM 5699.488281 1742195089.6602
MEM 5580.121094 1742195089.8821
MEM 5763.855469 1742195090.2623
MEM 5922.855469 1742195090.6531
MEM 5721.503906 1742195090.9875
MEM 5396.218750 1742195091.2791
MEM 5202.050781 1742195091.7610
MEM 5351.398438 1742195091.9375
MEM 5827.746094 1742195092.1762
MEM 5248.093750 1742195092.3463
MEM 5315.746094 1742195092.5771
MEM 5054.398438 1742195092.9529
MEM 5536.398438 1742195093.1442
MEM 5735.746094 1742195093.3245
MEM 5648.050781 1742195093.6133
MEM 5692.781250 1742195094.0313
MEM 5476.972656 1742195094.2747
MEM 5247.625000 1742195094.6778
MEM 5822.957031 1742195095.0534
MEM 5121.304688 1742195095.4509
MEM 4727.652344 1742195095.8903
MEM 5488.054688 1742195096.2047
MEM 5015.402344 1742195096.5306
MEM 5087.402344 1742195096.9234
MEM 5621.402344 1742195097.1995
MEM 5115.406250 1742195097.5701
MEM 5658.406250 1742195097.8391
MEM 5496.015625 1742195098.1394
MEM 5321.363281 1742195098.5383
MEM 5832.710938 1742195098.8965
MEM 5691.363281 1742195099.2280
MEM 5127.113281 1742195099.5695
MEM 4509.832031 1742195100.0091
MEM 5473.187500 1742195100.3428
MEM 5943.875000 1742195100.6434
MEM 5169.179688 1742195100.9083
MEM 5556.527344 1742195101.1764
MEM 5604.527344 1742195101.5266
MEM 5229.875000 1742195101.8746
MEM 6188.875000 1742195102.1265
MEM 5694.527344 1742195102.4747
MEM 5225.222656 1742195102.7910
MEM 5418.875000 1742195103.1106
MEM 4713.597656 1742195103.4283
MEM 5158.945312 1742195103.7675
MEM 5575.597656 1742195104.0841
MEM 5625.589844 1742195104.4251
MEM 5767.589844 1742195104.6874
MEM 5469.242188 1742195105.0528
MEM 5372.589844 1742195105.3853
MEM 5337.285156 1742195105.6619
MEM 4974.937500 1742195105.9371
MEM 5784.285156 1742195106.2004
MEM 5369.332031 1742195106.5613
MEM 5720.941406 1742195106.9285
MEM 5617.636719 1742195107.3049
MEM 5608.289062 1742195107.7231
MEM 5460.601562 1742195108.0903
MEM 5942.289062 1742195108.4428
MEM 5829.289062 1742195108.8001
MEM 6400.636719 1742195109.1271
MEM 5604.632812 1742195109.4329
MEM 5013.941406 1742195109.7372
MEM 4802.593750 1742195110.1016
MEM 5604.292969 1742195110.4274
MEM 5893.640625 1742195110.7459
MEM 4908.378906 1742195111.1142
MEM 5792.335938 1742195111.4965
MEM 5694.031250 1742195111.8445
MEM 4927.988281 1742195112.2213
MEM 5355.031250 1742195112.6410
MEM 5063.031250 1742195112.9604
MEM 5700.578125 1742195113.3290
MEM 5010.230469 1742195113.6694
MEM 5380.089844 1742195113.9478
MEM 5305.437500 1742195114.2276
MEM 5780.089844 1742195114.5165
MEM 5198.394531 1742195114.8339
MEM 4890.394531 1742195115.1686
MEM 5620.089844 1742195115.4889
MEM 5303.796875 1742195115.8096
MEM 5699.449219 1742195116.1058
MEM 5536.046875 1742195116.4163
MEM 5690.046875 1742195116.6811
MEM 6267.394531 1742195116.9949
MEM 5205.394531 1742195117.2886
MEM 5236.046875 1742195117.5795
MEM 5552.933594 1742195117.9392
MEM 5604.816406 1742195118.2751
MEM 5092.484375 1742195118.6559
MEM 5450.484375 1742195119.0158
MEM 5148.136719 1742195119.2723
MEM 5460.789062 1742195119.5749
MEM 4973.859375 1742195119.9029
MEM 5338.511719 1742195120.1984
MEM 5991.394531 1742195120.4351
MEM 5303.699219 1742195120.7028
MEM 5337.351562 1742195120.9572
MEM 5152.351562 1742195121.2688
MEM 5422.179688 1742195121.5733
MEM 5337.179688 1742195121.8766
MEM 5582.484375 1742195122.1757
MEM 5126.527344 1742195122.5507
MEM 5439.101562 1742195122.9013
MEM 5763.101562 1742195123.1847
MEM 4781.406250 1742195123.5430
MEM 4904.753906 1742195123.8948
MEM 5296.101562 1742195124.2270
MEM 4891.753906 1742195124.6258
MEM 5744.519531 1742195124.9827
MEM 5302.105469 1742195125.2991
MEM 5634.453125 1742195125.6051
MEM 5629.121094 1742195125.9418
MEM 5303.945312 1742195126.2636
MEM 5428.003906 1742195126.6064
MEM 6078.449219 1742195126.9086
MEM 5434.523438 1742195127.2346
MEM 5461.218750 1742195127.5989
MEM 5692.609375 1742195127.9960
MEM 5094.601562 1742195128.3904
MEM 6103.253906 1742195128.7219
MEM 6029.601562 1742195129.1248
MEM 4916.601562 1742195129.4811
MEM 5229.992188 1742195129.8659
MEM 5343.070312 1742195130.2389
MEM 5666.375000 1742195130.6232
MEM 5158.472656 1742195131.0077
MEM 5525.144531 1742195131.3577
MEM 5689.449219 1742195131.7358
MEM 5700.511719 1742195132.1480
MEM 5220.886719 1742195132.5378
MEM 4774.234375 1742195132.9642
MEM 5315.886719 1742195133.2855
MEM 5263.191406 1742195133.6830
MEM 5168.539062 1742195134.0571
MEM 6019.292969 1742195134.4058
MEM 5624.347656 1742195134.7446
MEM 4779.597656 1742195135.1458
MEM 5541.597656 1742195135.5582
MEM 5400.250000 1742195135.8905
MEM 5752.972656 1742195136.2989
MEM 4814.972656 1742195136.5968
MEM 5336.972656 1742195137.0017
MEM 6406.972656 1742195137.2518
MEM 5875.972656 1742195137.4986
MEM 5562.972656 1742195137.8653
MEM 5258.929688 1742195138.1049
MEM 5285.871094 1742195138.5295
MEM 5520.566406 1742195138.9033
MEM 5066.218750 1742195139.2992
MEM 5875.871094 1742195139.6180
MEM 5703.828125 1742195140.1100
MEM 5513.523438 1742195140.5297
MEM 5871.523438 1742195140.8889
MEM 5633.523438 1742195141.2972
MEM 4701.523438 1742195141.5849
MEM 5315.871094 1742195141.9325
MEM 5656.871094 1742195142.1659
MEM 5301.566406 1742195142.3795
MEM 6246.593750 1742195142.6928
MEM 5216.246094 1742195143.0126
MEM 5354.246094 1742195143.3350
MEM 5252.593750 1742195143.6078
MEM 5168.246094 1742195143.8821
MEM 5821.394531 1742195144.1287
MEM 5797.742188 1742195144.4905
MEM 5305.289062 1742195144.8907
MEM 5114.636719 1742195145.2210
MEM 5031.984375 1742195145.4858
MEM 6135.984375 1742195145.7357
MEM 5158.906250 1742195145.9884
MEM 5312.148438 1742195146.2274
MEM 5338.984375 1742195146.5915
MEM 5894.636719 1742195146.8970
MEM 5740.257812 1742195147.2333
MEM 5850.605469 1742195147.6480
MEM 4666.562500 1742195147.9990
MEM 5594.992188 1742195148.4631
MEM 5269.644531 1742195148.9132
MEM 5614.992188 1742195149.1349
MEM 5084.035156 1742195149.4675
MEM 5591.687500 1742195149.7850
MEM 5099.687500 1742195150.1585
MEM 5274.949219 1742195150.4549
MEM 5436.296875 1742195150.8987
MEM 5159.519531 1742195151.3259
MEM 5572.750000 1742195151.6549
MEM 5372.253906 1742195151.9018
MEM 5582.601562 1742195152.3149
MEM 4975.906250 1742195152.5282
MEM 5309.558594 1742195152.9726
MEM 5216.339844 1742195153.3332
MEM 5095.992188 1742195153.8122
MEM 5196.644531 1742195154.2695
MEM 5559.644531 1742195154.6192
MEM 6062.339844 1742195155.0386
MEM 5693.992188 1742195155.4795
MEM 5549.992188 1742195156.0100
MEM 5181.949219 1742195156.3100
MEM 5490.226562 1742195156.7195
MEM 4797.296875 1742195157.1253
MEM 5282.949219 1742195157.3443
MEM 5929.644531 1742195157.5418
MEM 5051.296875 1742195157.9409
MEM 5476.296875 1742195158.2734
MEM 5589.949219 1742195158.5774
MEM 5411.601562 1742195158.9126
MEM 5511.644531 1742195159.2783
MEM 5500.320312 1742195159.6353
MEM 5129.320312 1742195160.0141
MEM 5943.667969 1742195160.3277
MEM 5019.949219 1742195160.6772
MEM 5830.296875 1742195160.9467
MEM 5425.949219 1742195161.2777
MEM 5609.949219 1742195161.5300
MEM 5559.296875 1742195161.8817
MEM 5773.601562 1742195162.1879
MEM 5540.906250 1742195162.5360
MEM 4703.906250 1742195162.7913
MEM 5852.906250 1742195163.0822
MEM 5532.253906 1742195163.3829
MEM 5954.906250 1742195163.6879
MEM 5524.562500 1742195164.0176
MEM 5379.800781 1742195164.3723
MEM 5856.972656 1742195164.7819
MEM 5129.601562 1742195164.9588
MEM 5017.347656 1742195165.1356
MEM 5664.000000 1742195165.3172
MEM 5037.347656 1742195165.5945
MEM 6590.390625 1742195165.9586
MEM 4890.050781 1742195166.2948
MEM 5368.000000 1742195166.6682
MEM 5863.121094 1742195167.0041
MEM 5983.121094 1742195167.4008
MEM 5414.160156 1742195167.7461
MEM 5153.160156 1742195168.0349
MEM 5433.855469 1742195168.3467
MEM 5184.773438 1742195168.7428
MEM 5280.425781 1742195169.0757
MEM 5653.773438 1742195169.4459
MEM 5403.773438 1742195169.7326
MEM 5144.121094 1742195170.0972
MEM 4928.472656 1742195170.4220
MEM 5181.820312 1742195170.8194
MEM 5129.097656 1742195171.1777
MEM 6168.078125 1742195171.5323
MEM 5211.035156 1742195171.9405
MEM 5701.035156 1742195172.2802
MEM 5439.046875 1742195172.6677
MEM 5707.382812 1742195173.0289
MEM 5419.730469 1742195173.3176
MEM 5478.042969 1742195173.7439
MEM 5243.042969 1742195174.0931
MEM 4831.000000 1742195174.4812
MEM 5753.695312 1742195174.8103
MEM 6036.988281 1742195175.1644
MEM 4835.480469 1742195175.5573
MEM 5512.398438 1742195175.8688
MEM 5818.355469 1742195176.1890
MEM 5209.703125 1742195176.4802
MEM 5287.355469 1742195176.8127
MEM 5743.007812 1742195177.1299
MEM 5460.007812 1742195177.4797
MEM 5981.355469 1742195177.8005
MEM 5896.007812 1742195178.1439
MEM 4525.875000 1742195178.4713
MEM 5686.570312 1742195178.7974
MEM 5710.312500 1742195179.1300
MEM 6022.964844 1742195179.4419
MEM 5666.964844 1742195179.7319
MEM 5136.312500 1742195180.0578
MEM 5202.312500 1742195180.3890
MEM 5210.500000 1742195180.6901
MEM 5603.660156 1742195180.9836
MEM 5184.007812 1742195181.2454
MEM 5839.312500 1742195181.5044
MEM 5601.660156 1742195181.6779
MEM 5864.312500 1742195181.9463
MEM 5309.742188 1742195182.2172
MEM 5298.785156 1742195182.4744
MEM 5320.785156 1742195182.6650
MEM 6443.785156 1742195182.9242
MEM 5539.742188 1742195183.1216
MEM 5029.742188 1742195183.4314
MEM 5913.742188 1742195183.7502
MEM 5755.046875 1742195184.0617
MEM 5132.394531 1742195184.4515
MEM 5631.437500 1742195184.6935
MEM 5565.089844 1742195184.8722
MEM 5412.089844 1742195185.2721
MEM 5041.785156 1742195185.5928
MEM 5640.375000 1742195186.0691
MEM 5441.394531 1742195186.3072
MEM 5565.667969 1742195186.6882
MEM 5481.343750 1742195186.8636
MEM 5070.398438 1742195187.1240
MEM 6084.093750 1742195187.3546
MEM 5434.441406 1742195187.6370
MEM 5134.441406 1742195187.8400
MEM 5739.121094 1742195188.0886
MEM 5147.121094 1742195188.4761
MEM 5083.773438 1742195188.8969
MEM 5611.468750 1742195189.0845
MEM 5493.816406 1742195189.3428
MEM 5236.628906 1742195189.7284
MEM 5904.652344 1742195190.1425
MEM 5501.652344 1742195190.3910
MEM 6128.652344 1742195190.6997
MEM 5436.957031 1742195191.1850
MEM 5274.304688 1742195191.4692
MEM 5510.957031 1742195191.8220
MEM 5655.957031 1742195192.2267
MEM 5426.929688 1742195192.6868
MEM 5285.582031 1742195192.9610
MEM 5757.843750 1742195193.1741
MEM 5320.496094 1742195193.3478
MEM 5580.148438 1742195193.5475
MEM 6283.496094 1742195193.7858
MEM 5288.191406 1742195194.1274
MEM 5329.843750 1742195194.4553
MEM 5149.843750 1742195194.6953
MEM 5647.496094 1742195194.8687
MEM 5818.453125 1742195195.2262
MEM 5474.453125 1742195195.4938
MEM 5568.453125 1742195195.6609
MEM 5324.800781 1742195195.9213
MEM 5959.496094 1742195196.4240
MEM 5445.843750 1742195196.6953
MEM 5487.843750 1742195196.9876
MEM 5137.085938 1742195197.4165
MEM 4805.085938 1742195197.6203
MEM 6184.535156 1742195198.2024
MEM 5204.535156 1742195198.4004
MEM 5233.882812 1742195198.5736
MEM 5171.148438 1742195198.7725
MEM 5711.187500 1742195199.1496
MEM 5355.535156 1742195199.4010
MEM 5563.535156 1742195199.5793
MEM 5062.785156 1742195199.8817
MEM 5339.132812 1742195200.0692
MEM 5655.230469 1742195200.3106
MEM 5264.230469 1742195200.5106
MEM 5994.230469 1742195200.8376
MEM 5938.535156 1742195201.2083
MEM 5331.535156 1742195201.6110
MEM 5320.535156 1742195202.0446
MEM 5672.187500 1742195202.3687
MEM 4876.230469 1742195202.7795
MEM 5665.187500 1742195203.1979
MEM 5701.535156 1742195203.4582
MEM 4847.187500 1742195203.8041
MEM 5056.535156 1742195204.0759
MEM 5367.003906 1742195204.4417
MEM 5107.308594 1742195204.7914
MEM 4935.960938 1742195205.1525
MEM 5475.031250 1742195205.6035
MEM 5787.050781 1742195205.9629
MEM 5388.050781 1742195206.2722
MEM 5601.746094 1742195206.6404
MEM 5402.398438 1742195207.0732
MEM 5736.398438 1742195207.3617
MEM 5596.398438 1742195207.7041
MEM 4464.355469 1742195208.0485
MEM 5715.703125 1742195208.3894
MEM 5856.398438 1742195208.7102
MEM 5607.050781 1742195208.9705
MEM 5601.007812 1742195209.2977
MEM 5305.050781 1742195209.6538
MEM 5166.050781 1742195209.9792
MEM 5799.355469 1742195210.3086
MEM 5264.007812 1742195210.6579
MEM 5619.007812 1742195210.8672
MEM 5135.355469 1742195211.1047
MEM 6075.355469 1742195211.3971
MEM 5451.703125 1742195211.7134
MEM 5196.898438 1742195212.0675
MEM 5216.613281 1742195212.3469
MEM 5287.960938 1742195212.6109
MEM 5654.960938 1742195212.9348
MEM 5295.613281 1742195213.1957
MEM 5227.960938 1742195213.5535
MEM 5360.308594 1742195213.8795
MEM 5475.308594 1742195214.2638
MEM 5126.656250 1742195214.5428
MEM 4802.960938 1742195214.8946
MEM 5208.960938 1742195215.3098
MEM 5420.613281 1742195215.6320
MEM 5457.917969 1742195215.8974
MEM 5043.222656 1742195216.2770
MEM 5907.570312 1742195216.6204
MEM 5532.917969 1742195216.9974
MEM 5655.265625 1742195217.3669
MEM 5761.265625 1742195217.6577
MEM 5577.265625 1742195217.9368
MEM 5702.917969 1742195218.3210
MEM 5528.265625 1742195218.7056
MEM 6109.265625 1742195219.1224
MEM 6036.945312 1742195219.3860
MEM 5549.597656 1742195219.7653
MEM 5684.292969 1742195220.1372
MEM 5657.250000 1742195220.4571
MEM 5242.250000 1742195220.6775
MEM 5523.125000 1742195221.0512
MEM 5319.511719 1742195221.3528
MEM 5688.636719 1742195221.5564
MEM 5913.636719 1742195221.8648
MEM 5907.636719 1742195222.2084
MEM 5384.531250 1742195222.4700
MEM 5597.878906 1742195222.8987
MEM 5487.535156 1742195223.2425
MEM 5990.839844 1742195223.5466
MEM 5453.492188 1742195223.8521
MEM 4777.144531 1742195224.1722
MEM 5264.523438 1742195224.5261
MEM 5269.523438 1742195224.8229
MEM 5519.523438 1742195225.2039
MEM 5212.871094 1742195225.4763
MEM 5700.523438 1742195225.7224
MEM 5477.871094 1742195225.9232
MEM 5591.175781 1742195226.2913
MEM 5066.871094 1742195226.6287
MEM 4869.218750 1742195226.8376
MEM 5812.523438 1742195227.1083
MEM 5854.175781 1742195227.3546
MEM 4977.175781 1742195227.6352
MEM 6195.792969 1742195227.9353
MEM 5202.445312 1742195228.3104
MEM 5962.234375 1742195228.6746
MEM 5852.886719 1742195229.0364
MEM 4747.234375 1742195229.3456
MEM 5214.234375 1742195229.5698
MEM 5334.582031 1742195229.8131
MEM 5550.929688 1742195230.0803
MEM 5736.277344 1742195230.3493
MEM 5487.277344 1742195230.8395
MEM 5213.035156 1742195231.1943
MEM 5894.687500 1742195231.4732
MEM 5266.687500 1742195231.8025
MEM 5428.035156 1742195232.0990
MEM 4931.687500 1742195232.3698
MEM 4891.382812 1742195232.7072
MEM 5894.382812 1742195232.9463
MEM 5674.382812 1742195233.2295
MEM 5462.730469 1742195233.5217
MEM 4828.035156 1742195233.7182
MEM 4999.593750 1742195234.0069
MEM 5618.941406 1742195234.2936
MEM 5531.941406 1742195234.5530
MEM 5889.953125 1742195234.8172
MEM 5868.289062 1742195235.0793
MEM 5736.289062 1742195235.3592
MEM 5771.164062 1742195235.6386
MEM 5314.816406 1742195235.8810
MEM 5428.511719 1742195236.1028
MEM 5849.164062 1742195236.3929
MEM 5281.164062 1742195236.6442
MEM 5858.511719 1742195236.9058
MEM 5748.859375 1742195237.2342
MEM 5532.542969 1742195237.5986
MEM 5334.542969 1742195237.9928
MEM 6068.281250 1742195238.3002
MEM 5221.976562 1742195238.6344
MEM 5583.976562 1742195238.9671
MEM 5767.933594 1742195239.2647
MEM 5723.496094 1742195239.5389
MEM 4925.496094 1742195239.8683
MEM 5032.800781 1742195240.1300
MEM 5693.148438 1742195240.3854
MEM 5677.453125 1742195240.9295
MEM 5857.105469 1742195241.3829
MEM 5202.652344 1742195241.8229
MEM 6031.000000 1742195242.2236
MEM 5054.609375 1742195242.6130
MEM 5612.914062 1742195243.0022
MEM 5454.218750 1742195243.4492
MEM 5333.902344 1742195243.7192
MEM 6057.902344 1742195244.0376
MEM 5675.902344 1742195244.4461
MEM 4811.949219 1742195244.8722
MEM 4978.179688 1742195245.1288
MEM 4978.746094 1742195245.4958
MEM 5545.398438 1742195245.6716
MEM 4928.093750 1742195245.9207
MEM 5267.441406 1742195246.2486
MEM 6184.093750 1742195246.5156
MEM 6408.093750 1742195246.7965
MEM 5658.093750 1742195247.0647
MEM 5976.441406 1742195247.3144
MEM 5942.441406 1742195247.7124
MEM 5102.121094 1742195248.0562
MEM 5015.468750 1742195248.3958
MEM 5891.136719 1742195248.6443
MEM 5029.136719 1742195249.0167
MEM 4620.789062 1742195249.2134
MEM 5462.484375 1742195249.4027
MEM 5013.214844 1742195249.7374
MEM 5998.867188 1742195249.9768
MEM 5399.199219 1742195250.3048
MEM 5379.851562 1742195250.6350
MEM 4828.851562 1742195250.8317
MEM 5758.503906 1742195251.0284
MEM 5242.851562 1742195251.3251
MEM 5634.503906 1742195251.6107
MEM 5405.027344 1742195251.9544
MEM 5538.460938 1742195252.2245
MEM 5292.125000 1742195252.5901
MEM 5640.125000 1742195252.9930
MEM 5579.777344 1742195253.3636
MEM 5347.472656 1742195253.6704
MEM 5626.378906 1742195254.1005
MEM 5527.031250 1742195254.2775
MEM 5485.214844 1742195254.5282
MEM 5686.214844 1742195254.7764
MEM 5300.078125 1742195254.9856
MEM 5327.773438 1742195255.2082
MEM 5003.550781 1742195255.5145
MEM 6234.550781 1742195255.7629
MEM 5033.554688 1742195256.0557
MEM 5577.902344 1742195256.2400
MEM 5294.589844 1742195256.4846
MEM 5519.242188 1742195256.8264
MEM 5183.199219 1742195257.2490
MEM 4998.503906 1742195257.6377
MEM 6424.503906 1742195258.1313
MEM 5476.808594 1742195258.4215
MEM 5258.839844 1742195258.7501
MEM 5670.187500 1742195259.1478
MEM 5711.839844 1742195259.4275
MEM 5145.492188 1742195259.7400
MEM 5239.492188 1742195260.0750
MEM 5866.839844 1742195260.3862
MEM 5667.777344 1742195260.6477
MEM 6088.734375 1742195260.9620
