CMDLINE python run_sklearn.py
MEM 5043.296875 1741784542.8270
MEM 4713.781250 1741784543.0479
MEM 5141.746094 1741784543.3742
MEM 5416.296875 1741784543.5923
MEM 5253.296875 1741784543.8477
MEM 5064.886719 1741784544.3160
MEM 5447.886719 1741784544.6290
MEM 5015.945312 1741784545.0405
MEM 4562.597656 1741784545.4915
MEM 5457.597656 1741784545.8100
MEM 5480.597656 1741784546.2385
MEM 4855.976562 1741784546.7529
MEM 5312.796875 1741784547.1441
MEM 5070.398438 1741784547.4019
MEM 5158.050781 1741784547.8053
MEM 5839.398438 1741784548.2333
MEM 5694.398438 1741784548.4382
MEM 4892.703125 1741784548.7522
MEM 4959.050781 1741784549.0425
MEM 4578.355469 1741784549.2610
MEM 4763.128906 1741784549.6063
MEM 5035.128906 1741784549.8915
MEM 6010.449219 1741784550.2219
MEM 5254.109375 1741784550.5623
MEM 5342.027344 1741784550.8694
MEM 4910.707031 1741784551.1683
MEM 5506.113281 1741784551.4555
MEM 5311.742188 1741784551.7576
MEM 5512.980469 1741784552.0520
MEM 4702.285156 1741784552.4495
MEM 5776.015625 1741784552.7251
MEM 4777.320312 1741784553.0769
MEM 5616.496094 1741784553.4529
MEM 5316.554688 1741784553.8275
MEM 5060.554688 1741784554.1227
MEM 4811.800781 1741784554.4455
MEM 4584.800781 1741784554.6524
MEM 5586.453125 1741784554.9055
MEM 5239.800781 1741784555.0997
MEM 5291.105469 1741784555.3446
MEM 5609.539062 1741784555.5970
MEM 5317.410156 1741784555.8239
MEM 5033.695312 1741784556.0727
MEM 5656.640625 1741784556.3581
MEM 4918.062500 1741784556.6179
MEM 5380.410156 1741784556.8882
MEM 4834.757812 1741784557.2248
MEM 4908.902344 1741784557.6171
MEM 5456.277344 1741784557.8739
MEM 5578.277344 1741784558.0993
MEM 5505.003906 1741784558.4764
MEM 5024.265625 1741784558.8957
MEM 5322.960938 1741784559.2322
MEM 4843.656250 1741784559.5337
MEM 5843.656250 1741784559.8257
MEM 5495.656250 1741784560.1454
MEM 5421.656250 1741784560.4545
MEM 5128.656250 1741784560.7055
MEM 4879.507812 1741784560.9358
MEM 5708.656250 1741784561.1821
MEM 5229.675781 1741784561.4436
MEM 4895.328125 1741784561.6859
MEM 5847.371094 1741784561.9321
MEM 4964.679688 1741784562.2215
MEM 4894.332031 1741784562.4925
MEM 5348.488281 1741784562.7629
MEM 5304.140625 1741784563.0099
MEM 5522.488281 1741784563.2816
MEM 5223.140625 1741784563.5343
MEM 5662.140625 1741784563.8243
MEM 5518.300781 1741784564.0799
MEM 4777.953125 1741784564.3354
MEM 5973.300781 1741784564.6246
MEM 5441.953125 1741784564.9500
MEM 5606.417969 1741784565.2854
MEM 5383.417969 1741784565.6667
MEM 5399.375000 1741784565.9963
MEM 5233.468750 1741784566.3176
MEM 4219.070312 1741784566.6928
MEM 4939.097656 1741784567.0085
MEM 5560.750000 1741784567.1880
MEM 6160.644531 1741784567.4951
MEM 5254.214844 1741784567.8453
MEM 5442.898438 1741784568.1944
MEM 4372.550781 1741784568.4878
MEM 5227.351562 1741784568.6622
MEM 5653.417969 1741784568.9180
MEM 5114.210938 1741784569.2677
MEM 5336.863281 1741784569.6052
MEM 5313.515625 1741784569.9290
MEM 5657.632812 1741784570.2920
MEM 5085.285156 1741784570.5720
MEM 5386.980469 1741784570.8512
MEM 5185.980469 1741784571.0877
MEM 4828.328125 1741784571.3803
MEM 5601.632812 1741784571.8540
MEM 5067.007812 1741784572.1878
MEM 5790.441406 1741784572.4985
MEM 5336.093750 1741784572.7472
MEM 5574.746094 1741784572.9786
MEM 5480.230469 1741784573.2147
MEM 5170.578125 1741784573.4513
MEM 5774.093750 1741784573.7560
MEM 5816.746094 1741784573.9987
MEM 5482.050781 1741784574.3112
MEM 5191.050781 1741784574.5547
MEM 5422.792969 1741784574.8159
MEM 5072.445312 1741784575.2060
MEM 4850.445312 1741784575.5797
MEM 5538.792969 1741784575.9306
MEM 5864.871094 1741784576.2453
MEM 4895.292969 1741784576.6509
MEM 4935.945312 1741784576.8544
MEM 5790.945312 1741784577.1796
MEM 5179.902344 1741784577.5506
MEM 4443.554688 1741784577.8952
MEM 5893.281250 1741784578.1984
MEM 5722.890625 1741784578.5255
MEM 5158.585938 1741784578.8120
MEM 5710.585938 1741784579.0621
MEM 5539.542969 1741784579.3231
MEM 5271.890625 1741784579.5847
MEM 5085.273438 1741784580.0482
MEM 5267.273438 1741784580.3431
MEM 5278.968750 1741784580.6587
MEM 5504.316406 1741784580.9111
MEM 5850.664062 1741784581.1660
MEM 5251.664062 1741784581.5634
MEM 5154.386719 1741784581.9415
MEM 5545.343750 1741784582.3587
MEM 5144.453125 1741784582.6849
MEM 5265.800781 1741784582.9566
MEM 5139.800781 1741784583.2693
MEM 5098.148438 1741784583.5834
MEM 4739.453125 1741784583.8593
MEM 5233.800781 1741784584.1114
MEM 6152.871094 1741784584.3697
MEM 5450.523438 1741784584.6043
MEM 6110.523438 1741784584.8564
MEM 5219.554688 1741784585.0235
MEM 4517.554688 1741784585.2555
MEM 5551.523438 1741784585.5004
MEM 5460.894531 1741784585.8053
MEM 5352.546875 1741784586.0916
MEM 5165.199219 1741784586.4033
MEM 5268.546875 1741784586.7042
MEM 5442.546875 1741784586.9143
MEM 4702.667969 1741784587.2107
MEM 4817.015625 1741784587.5044
MEM 5488.015625 1741784587.7092
MEM 5362.667969 1741784588.0662
MEM 5587.320312 1741784588.3342
MEM 5024.046875 1741784588.6522
MEM 5153.625000 1741784589.0300
MEM 4821.277344 1741784589.3461
MEM 5651.648438 1741784589.6293
MEM 5321.300781 1741784590.0325
MEM 4967.300781 1741784590.2630
MEM 5077.300781 1741784590.4456
MEM 5095.890625 1741784590.6958
MEM 5799.996094 1741784590.9296
MEM 5204.300781 1741784591.2340
MEM 4989.332031 1741784591.5349
MEM 4500.531250 1741784591.8154
MEM 4939.878906 1741784592.0072
MEM 4588.714844 1741784592.3040
MEM 4872.714844 1741784592.6322
MEM 4507.367188 1741784592.9707
MEM 4884.179688 1741784593.2252
MEM 5386.179688 1741784593.5221
MEM 4925.832031 1741784593.8003
MEM 4728.179688 1741784594.1179
MEM 4749.554688 1741784594.3467
MEM 4941.089844 1741784594.6936
MEM 5285.742188 1741784594.9784
MEM 5194.742188 1741784595.3992
MEM 5464.742188 1741784595.7255
MEM 5034.394531 1741784595.9330
MEM 5747.394531 1741784596.3210
MEM 5559.394531 1741784596.5567
MEM 5035.351562 1741784596.9440
MEM 5490.394531 1741784597.1689
MEM 5534.394531 1741784597.4246
MEM 5265.699219 1741784597.7330
MEM 5148.046875 1741784598.0946
MEM 4881.347656 1741784598.3846
MEM 5307.000000 1741784598.7030
MEM 6287.347656 1741784599.0764
MEM 4880.339844 1741784599.4408
MEM 5135.496094 1741784599.7718
MEM 5523.148438 1741784600.0830
MEM 5641.800781 1741784600.4274
MEM 5454.453125 1741784600.6907
MEM 4950.800781 1741784600.9805
MEM 4977.453125 1741784601.3723
MEM 5512.148438 1741784601.6311
MEM 4570.800781 1741784601.9465
MEM 5398.371094 1741784602.2716
MEM 4995.078125 1741784602.5456
MEM 5806.582031 1741784602.9294
MEM 6217.234375 1741784603.2895
MEM 4946.425781 1741784603.5802
MEM 5096.144531 1741784603.8398
MEM 5241.796875 1741784604.0962
MEM 5814.796875 1741784604.4137
MEM 5605.597656 1741784604.7333
MEM 5225.597656 1741784605.0348
MEM 5441.945312 1741784605.3036
MEM 5598.945312 1741784605.5765
MEM 6075.597656 1741784605.9077
MEM 5595.710938 1741784606.2779
MEM 4755.429688 1741784606.6048
MEM 4804.515625 1741784606.9280
MEM 5304.742188 1741784607.2108
MEM 5011.757812 1741784607.5653
MEM 4964.714844 1741784607.9724
MEM 5163.757812 1741784608.2590
MEM 5927.757812 1741784608.5089
MEM 5475.757812 1741784608.8181
MEM 5136.089844 1741784609.1997
MEM 5415.437500 1741784609.5254
MEM 5122.089844 1741784609.9443
MEM 5338.046875 1741784610.2010
MEM 5153.046875 1741784610.3754
MEM 5292.394531 1741784610.7101
MEM 5298.394531 1741784610.9814
MEM 4977.394531 1741784611.2496
MEM 5445.394531 1741784611.5484
MEM 5057.699219 1741784611.9089
MEM 5947.542969 1741784612.2864
MEM 5268.542969 1741784612.5537
MEM 4992.542969 1741784612.7699
MEM 5360.542969 1741784612.9587
MEM 5699.890625 1741784613.1663
MEM 5659.890625 1741784613.3693
MEM 5866.921875 1741784613.7287
MEM 5244.226562 1741784613.9441
MEM 4846.574219 1741784614.1857
MEM 5396.921875 1741784614.4499
MEM 5712.964844 1741784614.7421
MEM 5632.617188 1741784615.0890
MEM 5417.457031 1741784615.3754
MEM 5374.457031 1741784615.7202
MEM 5509.761719 1741784616.1505
MEM 5787.761719 1741784616.4020
MEM 4847.980469 1741784616.8140
MEM 5583.035156 1741784617.0248
MEM 5104.035156 1741784617.2831
MEM 5088.035156 1741784617.6089
MEM 5539.035156 1741784617.8659
MEM 4913.687500 1741784618.1318
MEM 5719.707031 1741784618.3730
MEM 5838.664062 1741784618.7570
MEM 5169.316406 1741784619.1931
MEM 4970.695312 1741784619.4885
MEM 5089.609375 1741784619.7224
MEM 4924.925781 1741784620.1542
MEM 4622.925781 1741784620.5643
MEM 5425.886719 1741784620.8429
MEM 5590.914062 1741784621.2363
MEM 5192.644531 1741784621.7011
MEM 5207.894531 1741784622.0498
MEM 5748.546875 1741784622.3270
MEM 5711.656250 1741784622.5706
MEM 4844.972656 1741784622.9196
MEM 5207.625000 1741784623.2183
MEM 5558.625000 1741784623.4931
MEM 5369.277344 1741784623.8070
MEM 5154.582031 1741784624.0172
MEM 5582.234375 1741784624.2838
MEM 5625.886719 1741784624.6307
MEM 5338.539062 1741784624.9172
MEM 5017.539062 1741784625.2304
MEM 5469.886719 1741784625.5725
MEM 5870.191406 1741784625.9787
MEM 5290.148438 1741784626.1583
MEM 4443.148438 1741784626.4069
MEM 5418.902344 1741784626.6082
MEM 5582.613281 1741784626.8937
MEM 4685.613281 1741784627.2770
MEM 5361.613281 1741784627.5468
MEM 5359.984375 1741784627.7687
MEM 4774.636719 1741784628.1518
MEM 4986.636719 1741784628.3810
MEM 4996.984375 1741784628.6389
MEM 5279.250000 1741784628.8879
MEM 4690.460938 1741784629.2208
MEM 5406.292969 1741784629.5208
MEM 5566.175781 1741784629.8586
MEM 4764.523438 1741784630.1260
MEM 5337.523438 1741784630.4913
MEM 5655.871094 1741784630.8345
MEM 5431.523438 1741784631.1414
MEM 5148.871094 1741784631.3822
MEM 5356.250000 1741784631.5926
MEM 4777.902344 1741784631.9144
MEM 5015.902344 1741784632.1518
MEM 5740.929688 1741784632.4380
MEM 5029.929688 1741784632.7578
MEM 5430.929688 1741784633.0346
MEM 4830.929688 1741784633.3493
MEM 4889.277344 1741784633.5839
MEM 5219.625000 1741784633.8913
MEM 5419.339844 1741784634.1979
MEM 5159.277344 1741784634.5414
MEM 5127.359375 1741784634.7893
MEM 5554.785156 1741784635.0420
MEM 5104.785156 1741784635.2864
MEM 4756.785156 1741784635.4925
MEM 4533.437500 1741784635.7189
MEM 5228.437500 1741784635.9083
MEM 4965.335938 1741784636.2285
MEM 5113.117188 1741784636.4676
MEM 5542.117188 1741784636.8041
MEM 5446.117188 1741784637.0430
MEM 5614.769531 1741784637.3143
MEM 4848.074219 1741784637.6890
MEM 5122.769531 1741784638.0444
MEM 5015.468750 1741784638.4269
MEM 5685.117188 1741784638.7787
MEM 4804.218750 1741784639.0166
MEM 6168.328125 1741784639.2891
MEM 5223.675781 1741784639.5118
MEM 5133.675781 1741784639.7929
MEM 5983.675781 1741784640.0995
MEM 5761.980469 1741784640.3736
MEM 5062.011719 1741784640.6865
MEM 5362.359375 1741784640.9864
MEM 5440.664062 1741784641.2828
MEM 5054.359375 1741784641.5739
MEM 5484.734375 1741784641.8514
MEM 4528.386719 1741784642.3161
MEM 5151.386719 1741784642.5512
MEM 4556.039062 1741784642.8373
MEM 5641.386719 1741784643.0888
MEM 4887.101562 1741784643.5515
MEM 5207.753906 1741784643.9199
MEM 4611.152344 1741784644.2666
MEM 5741.906250 1741784644.5459
MEM 5431.253906 1741784644.8168
MEM 4901.558594 1741784645.0895
MEM 5028.558594 1741784645.5407
MEM 5096.843750 1741784645.7958
MEM 5363.742188 1741784646.1210
MEM 5768.394531 1741784646.4629
MEM 5797.394531 1741784646.7457
MEM 5819.562500 1741784647.1898
MEM 5619.910156 1741784647.4362
MEM 5434.214844 1741784647.6631
MEM 5014.351562 1741784647.9689
MEM 5812.046875 1741784648.2565
MEM 5313.699219 1741784648.6809
MEM 4535.066406 1741784649.2432
MEM 5260.761719 1741784649.6304
MEM 5264.777344 1741784650.0091
MEM 5370.054688 1741784650.3590
MEM 5886.054688 1741784650.6796
MEM 5298.707031 1741784651.0773
MEM 5255.707031 1741784651.4370
MEM 5809.707031 1741784651.7430
MEM 5066.039062 1741784652.1368
MEM 5288.386719 1741784652.5197
MEM 5268.039062 1741784652.8528
MEM 4338.691406 1741784653.2198
MEM 5358.527344 1741784653.5619
MEM 5470.875000 1741784653.8613
MEM 5178.832031 1741784654.2398
MEM 5300.476562 1741784654.6337
MEM 5306.656250 1741784655.0076
MEM 5055.695312 1741784655.3875
MEM 5121.695312 1741784655.7698
MEM 5183.042969 1741784656.1176
MEM 5481.207031 1741784656.4977
MEM 5372.859375 1741784656.8164
MEM 5221.976562 1741784657.0869
MEM 5411.976562 1741784657.3841
MEM 5049.718750 1741784657.7676
MEM 4805.066406 1741784658.0933
MEM 5033.066406 1741784658.3100
MEM 5726.414062 1741784658.5137
MEM 5254.414062 1741784658.7924
MEM 5509.718750 1741784659.1230
MEM 4921.617188 1741784659.4810
MEM 5060.964844 1741784659.6967
MEM 5263.312500 1741784659.9026
MEM 5033.042969 1741784660.1189
MEM 5574.042969 1741784660.2917
MEM 4717.390625 1741784660.5550
MEM 5358.390625 1741784660.8334
MEM 5467.042969 1741784661.1706
MEM 5030.000000 1741784661.5478
MEM 4947.347656 1741784661.9396
MEM 5273.695312 1741784662.2086
MEM 4874.722656 1741784662.4669
MEM 4921.722656 1741784662.8209
MEM 5211.078125 1741784663.0867
MEM 5094.078125 1741784663.5032
MEM 5442.078125 1741784663.8399
MEM 5344.496094 1741784664.2528
MEM 4942.843750 1741784664.4426
MEM 5327.843750 1741784664.6353
MEM 5613.843750 1741784664.8881
MEM 5140.191406 1741784665.1700
MEM 5454.468750 1741784665.5519
MEM 5901.468750 1741784665.8967
MEM 5333.214844 1741784666.1564
MEM 5558.562500 1741784666.4538
MEM 5022.234375 1741784666.9270
MEM 5422.234375 1741784667.1204
MEM 5252.582031 1741784667.3621
MEM 5005.886719 1741784667.6715
MEM 5225.246094 1741784668.0307
MEM 5243.738281 1741784668.4290
MEM 5120.460938 1741784668.7848
MEM 5028.113281 1741784669.2222
MEM 5633.765625 1741784669.4666
MEM 4924.863281 1741784669.7347
MEM 5203.515625 1741784670.1474
MEM 5023.210938 1741784670.5558
MEM 5336.804688 1741784670.8410
MEM 5247.355469 1741784671.1580
MEM 4629.355469 1741784671.4894
MEM 5472.335938 1741784671.7853
MEM 5827.640625 1741784672.2079
MEM 5843.335938 1741784672.4818
MEM 5558.683594 1741784672.7204
MEM 4423.335938 1741784672.9900
MEM 5221.683594 1741784673.2272
MEM 5374.335938 1741784673.5296
MEM 5151.695312 1741784673.8152
MEM 5098.136719 1741784674.0588
MEM 5020.636719 1741784674.3869
MEM 5374.136719 1741784674.6957
MEM 4858.832031 1741784675.1228
MEM 5444.527344 1741784675.5794
MEM 5261.179688 1741784675.7476
MEM 5570.527344 1741784676.0462
MEM 5200.875000 1741784676.3806
MEM 5598.527344 1741784676.6916
MEM 5101.832031 1741784677.0240
MEM 5042.832031 1741784677.3976
MEM 4879.136719 1741784677.7499
MEM 5588.136719 1741784678.0985
MEM 4742.136719 1741784678.3919
MEM 5074.789062 1741784678.6375
MEM 4712.789062 1741784678.9664
MEM 5863.484375 1741784679.2813
MEM 5267.789062 1741784679.6179
MEM 4878.093750 1741784679.9504
MEM 4486.203125 1741784680.2541
MEM 5053.507812 1741784680.5733
MEM 5145.093750 1741784680.8591
MEM 4830.746094 1741784681.1595
MEM 5275.742188 1741784681.4844
MEM 5105.089844 1741784681.7689
MEM 5340.089844 1741784682.0107
MEM 5791.972656 1741784682.2922
MEM 5320.972656 1741784682.5471
MEM 5190.320312 1741784682.8543
MEM 4741.972656 1741784683.1400
MEM 5590.972656 1741784683.4226
MEM 5508.320312 1741784683.7548
MEM 4920.667969 1741784684.0970
MEM 4742.667969 1741784684.3887
MEM 5164.351562 1741784684.7418
MEM 5834.667969 1741784685.0678
MEM 5339.363281 1741784685.3441
MEM 5393.363281 1741784685.6456
MEM 4697.363281 1741784685.9609
MEM 4852.058594 1741784686.2952
MEM 5191.710938 1741784686.6127
MEM 5360.003906 1741784686.9992
MEM 5892.656250 1741784687.4649
MEM 4915.003906 1741784687.8758
MEM 5065.003906 1741784688.2458
MEM 5447.003906 1741784688.5173
MEM 5171.351562 1741784688.8544
MEM 4924.003906 1741784689.2537
MEM 5227.656250 1741784689.4587
MEM 5256.351562 1741784689.6973
MEM 5402.578125 1741784689.8957
MEM 5509.960938 1741784690.2271
MEM 5076.308594 1741784690.5644
MEM 5556.308594 1741784690.8133
MEM 5173.308594 1741784691.2019
MEM 5029.699219 1741784691.4520
MEM 5993.988281 1741784691.6634
MEM 5529.292969 1741784692.0163
MEM 5986.292969 1741784692.2238
MEM 5395.292969 1741784692.5110
MEM 5258.988281 1741784692.8628
MEM 5137.847656 1741784693.2658
MEM 5744.851562 1741784693.5182
MEM 5441.851562 1741784694.0000
MEM 5165.894531 1741784694.4104
MEM 5765.558594 1741784694.7341
MEM 4948.601562 1741784695.0986
MEM 5173.851562 1741784695.4738
MEM 5526.199219 1741784695.7705
MEM 4662.503906 1741784696.1456
MEM 5236.546875 1741784696.4877
MEM 5730.359375 1741784696.8053
MEM 5064.664062 1741784697.1721
MEM 5411.011719 1741784697.4885
MEM 5443.359375 1741784697.8080
MEM 5012.433594 1741784698.1221
MEM 5023.781250 1741784698.4719
MEM 5257.707031 1741784698.7660
MEM 6006.707031 1741784699.0241
MEM 5723.359375 1741784699.3852
MEM 5586.359375 1741784699.7753
MEM 5158.359375 1741784700.0458
MEM 4730.707031 1741784700.4427
MEM 5693.000000 1741784700.6526
MEM 5438.000000 1741784700.9249
MEM 5556.613281 1741784701.2824
MEM 4519.960938 1741784701.5902
MEM 5206.210938 1741784701.7882
MEM 5294.656250 1741784702.0826
MEM 5318.656250 1741784702.3780
MEM 5579.960938 1741784702.6474
MEM 4974.714844 1741784703.0136
MEM 5068.652344 1741784703.3689
MEM 5363.347656 1741784703.6582
MEM 4874.386719 1741784703.9936
MEM 5767.039062 1741784704.2671
MEM 5231.343750 1741784704.5488
MEM 5671.691406 1741784704.9200
MEM 5208.386719 1741784705.2398
MEM 5305.082031 1741784705.5507
MEM 5502.429688 1741784705.7295
MEM 5530.082031 1741784705.9905
MEM 5376.082031 1741784706.2550
MEM 5461.734375 1741784706.5858
MEM 5082.691406 1741784706.8753
MEM 4882.343750 1741784707.1651
MEM 5126.386719 1741784707.5020
MEM 4822.339844 1741784707.8096
MEM 4993.339844 1741784708.1882
MEM 4565.992188 1741784708.5347
MEM 5386.687500 1741784708.8365
MEM 5342.289062 1741784709.1881
MEM 4998.687500 1741784709.5270
MEM 5227.035156 1741784709.8793
MEM 5151.132812 1741784710.2054
MEM 5340.480469 1741784710.5224
MEM 4994.132812 1741784710.8374
MEM 5423.382812 1741784711.1318
MEM 5368.382812 1741784711.3945
MEM 5376.406250 1741784711.7023
MEM 5098.406250 1741784711.9990
MEM 5191.406250 1741784712.3262
MEM 5093.753906 1741784712.6033
MEM 5164.058594 1741784712.8873
MEM 5088.101562 1741784713.2388
MEM 5736.101562 1741784713.5592
MEM 4560.953125 1741784713.8786
MEM 5837.605469 1741784714.1762
MEM 5836.605469 1741784714.5765
MEM 5077.953125 1741784714.9423
MEM 5052.957031 1741784715.3720
MEM 5860.261719 1741784715.7580
MEM 4995.261719 1741784716.0809
MEM 4826.066406 1741784716.4065
MEM 4985.031250 1741784716.7371
MEM 4779.378906 1741784717.0666
MEM 5494.378906 1741784717.3719
MEM 5459.378906 1741784717.6563
MEM 4814.074219 1741784717.9784
MEM 5893.074219 1741784718.2885
MEM 4996.031250 1741784718.5571
MEM 5405.378906 1741784718.9004
MEM 4915.378906 1741784719.2040
MEM 5370.031250 1741784719.4677
MEM 4651.882812 1741784719.7721
MEM 5115.578125 1741784720.0722
MEM 5198.230469 1741784720.4192
MEM 5230.535156 1741784720.7717
MEM 4919.976562 1741784721.0886
MEM 5181.468750 1741784721.3756
MEM 5826.375000 1741784721.7413
MEM 4875.722656 1741784721.9975
MEM 4823.027344 1741784722.2794
MEM 4639.375000 1741784722.6223
MEM 5023.070312 1741784722.8989
MEM 5516.375000 1741784723.2280
MEM 5695.070312 1741784723.4897
MEM 4750.417969 1741784723.7975
MEM 5266.070312 1741784724.1294
MEM 5281.070312 1741784724.3770
MEM 5490.375000 1741784724.6633
MEM 5166.375000 1741784724.9479
MEM 4849.378906 1741784725.3403
MEM 6110.031250 1741784725.6661
MEM 5816.031250 1741784725.9067
MEM 4918.804688 1741784726.1251
MEM 5190.378906 1741784726.4625
MEM 5618.031250 1741784726.7608
MEM 5418.031250 1741784726.9554
MEM 5422.683594 1741784727.2762
MEM 4685.406250 1741784727.6011
MEM 5257.656250 1741784727.9345
MEM 5117.308594 1741784728.1727
MEM 5264.351562 1741784728.5385
MEM 5761.058594 1741784728.7263
MEM 5090.441406 1741784729.0123
MEM 5469.238281 1741784729.3017
MEM 5644.542969 1741784729.6778
MEM 4714.542969 1741784729.9383
MEM 6232.238281 1741784730.2528
MEM 5320.890625 1741784730.4593
MEM 5344.238281 1741784730.7200
MEM 5147.582031 1741784731.0677
MEM 5651.886719 1741784731.3446
MEM 5005.539062 1741784731.6893
MEM 5713.195312 1741784731.9672
MEM 5038.847656 1741784732.2607
MEM 5627.195312 1741784732.5013
MEM 5266.195312 1741784732.7018
MEM 5585.847656 1741784732.9618
MEM 5622.457031 1741784733.3177
MEM 4778.109375 1741784733.5953
MEM 4862.457031 1741784733.7914
MEM 5502.457031 1741784734.0863
MEM 5429.109375 1741784734.3939
MEM 5424.761719 1741784734.6742
MEM 4938.761719 1741784735.0507
MEM 5105.414062 1741784735.2992
MEM 4773.242188 1741784735.6724
MEM 5248.546875 1741784735.9479
MEM 4669.546875 1741784736.2218
MEM 5732.546875 1741784736.4057
MEM 5058.546875 1741784736.8172
MEM 5171.156250 1741784737.1106
MEM 4731.503906 1741784737.3769
